Goal Hash: -1642195275
States: 1024, Actions: 8
State\Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7
State_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_2,0.0,-8.57476161829949,0.0,-4.405622928120078,0.0,53.652305301872104,0.0,79.08726437786562
State_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_6,0.0,18.519417340169145,0.0,12.194079917850292,0.0,55.87118390101801,80.45761707997669,0.0
State_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_10,0.0,-11.404315285962351,0.0,-7.066373637895466,70.61995497324817,0.0,0.0,32.665526141655256
State_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_14,0.0,2.179504451810169,0.0,-7.847862491836499,95.64066509569821,0.0,39.479420676518274,0.0
State_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_18,0.0,-30.876252435978724,38.91796920121106,0.0,0.0,38.86767368121317,0.0,51.63150705686944
State_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_22,0.0,-10.44807871783084,86.80987539683187,0.0,0.0,14.935885126556945,38.936692248723936,0.0
State_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_26,0.0,-39.77419233524673,18.045989023213668,0.0,43.1098887532731,0.0,0.0,8.24179519879345
State_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_30,0.0,-29.220744285337478,30.40443621976789,0.0,22.45789415448474,0.0,46.45218307725955,0.0
State_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_34,31.65964171806583,0.0,0.0,-27.420478558323946,0.0,18.65612048752919,0.0,56.96956975523539
State_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_38,87.54931536024779,0.0,0.0,-8.669503698366487,0.0,39.03960508021168,34.44735626777054,0.0
State_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_42,8.55209594856758,0.0,0.0,-27.902930059061728,27.397986006214925,0.0,0.0,49.106733924892566
State_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_46,62.829242948127686,0.0,0.0,-30.755253774925528,36.36454975430082,0.0,36.82306006922596,0.0
State_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_50,12.190585735857107,0.0,36.19206047422792,0.0,0.0,2.469541000585945,0.0,8.502744636787037
State_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_54,17.9781475945515,0.0,53.11034256991215,0.0,0.0,4.042973390730383,4.897912132529725,0.0
State_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_58,-0.1793096373434288,0.0,32.469259986565476,0.0,0.7423141420621833,0.0,0.0,-0.5909314915156884
State_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_62,15.539851566430539,0.0,30.660686842671087,0.0,1.3051371328191008,0.0,3.439454811408688,0.0
State_63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
