Q-TABLE EXPORT
==============

Goal Hash: -1642195275
Generated: Tue May 27 22:49:57 CEST 2025
State Space Size: 1024
Action Space Size: 8

State\Action          A0          A1          A2          A3          A4          A5          A6          A7
------------------------------------------------------------------------------------------------------------
S0              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S1              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S2              0,000000   -8,574762    0,000000   -4,405623    0,000000   53,652305    0,000000   79,087264
S3              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S4              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S5              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S6              0,000000   18,519417    0,000000   12,194080    0,000000   55,871184   80,457617    0,000000
S7              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S8              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S9              0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S10             0,000000  -11,404315    0,000000   -7,066374   70,619955    0,000000    0,000000   32,665526
S11             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S12             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S13             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S14             0,000000    2,179504    0,000000   -7,847862   95,640665    0,000000   39,479421    0,000000
S15             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S16             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S17             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S18             0,000000  -30,876252   38,917969    0,000000    0,000000   38,867674    0,000000   51,631507
S19             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S20             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S21             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S22             0,000000  -10,448079   86,809875    0,000000    0,000000   14,935885   38,936692    0,000000
S23             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S24             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S25             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S26             0,000000  -39,774192   18,045989    0,000000   43,109889    0,000000    0,000000    8,241795
S27             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S28             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S29             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S30             0,000000  -29,220744   30,404436    0,000000   22,457894    0,000000   46,452183    0,000000
S31             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S32             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S33             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S34            31,659642    0,000000    0,000000  -27,420479    0,000000   18,656120    0,000000   56,969570
S35             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S36             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S37             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S38            87,549315    0,000000    0,000000   -8,669504    0,000000   39,039605   34,447356    0,000000
S39             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S40             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S41             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S42             8,552096    0,000000    0,000000  -27,902930   27,397986    0,000000    0,000000   49,106734
S43             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S44             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S45             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S46            62,829243    0,000000    0,000000  -30,755254   36,364550    0,000000   36,823060    0,000000
S47             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S48             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000
S49             0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000    0,000000

... (showing first 50 states of 1024 total)
